// Red Grade (RR RG RB RA)  Green Grade (GR GG GB GA)  Blue Grade (BR BG BB BA)
// RR   RG    RB    RA     GG    GG    GB     GA    BR    BG    BB    BA

// WEATHER_EXTRASUNNY_LA
2.124 0.000 0.000 -0.007 0.000 2.124 0.000 -0.007 0.000 0.000 2.124 -0.007 // 12 AM
2.062 0.000 0.000 -0.003 0.000 2.065 0.000 -0.004 0.000 0.000 2.065 -0.004  // 1 AM
2.000 0.000 0.000 0.000 0.000 2.007 0.000 -0.002 0.000 0.000 2.007 -0.002  // 2 AM
1.938 0.000 0.000 0.004 0.000 1.948 0.000 0.001 0.000 0.000 1.948 0.001 // 3 AM
1.793 0.000 0.000 0.013 0.000 1.812 0.000 0.008 0.000 0.000 1.812 0.008  // 4 AM
1.649 0.000 0.000 0.023 0.000 1.675 0.000 0.015 0.000 0.000 1.675 0.015  // 5 AM
1.504 0.000 0.000 0.032 0.000 1.539 0.000 0.022 0.000 0.000 1.539 0.022 // 6 AM
1.633 0.000 0.000 0.026 0.000 1.655 0.000 0.016 0.000 0.000 1.673 0.014  // 7 AM
1.761 0.000 0.000 0.021 0.000 1.772 0.000 0.011 0.000 0.000 1.808 0.007  // 8 AM
1.890 0.000 0.000 0.015 0.000 1.888 0.000 0.005 0.000 0.000 1.942 -0.001 // 9 AM
2.084 0.000 0.000 0.007 0.000 2.063 0.000 -0.003 0.000 0.000 2.144 -0.012  // 10 AM
2.277 0.000 0.000 -0.002 0.000 2.237 0.000 -0.012 0.000 0.000 2.345 -0.024  // 11 AM
2.471 0.000 0.000 -0.010 0.000 2.412 0.000 -0.020 0.000 0.000 2.547 -0.035 // 12 PM
2.392 0.000 0.000 -0.015 0.000 2.297 0.000 -0.019 0.000 0.000 2.431 -0.041  // 1 PM
2.312 0.001 0.001 -0.020 0.000 2.182 0.000 -0.019 0.000 0.000 2.314 -0.047  // 2 PM
2.233 0.001 0.001 -0.025 -0.000 2.067 0.000 -0.018 0.000 0.000 2.198 -0.053 // 3 PM
2.114 0.001 0.001 -0.033 -0.000 1.895 0.000 -0.017 0.000 0.000 2.023 -0.062  // 4 PM
1.996 0.002 0.002 -0.041 -0.001 1.722 0.001 -0.017 0.000 0.000 1.849 -0.070  // 5 PM
1.877 0.002 0.002 -0.049 -0.001 1.550 0.001 -0.016 0.000 0.000 1.674 -0.079 // 6 PM
1.935 0.001 0.001 -0.039 -0.001 1.684 0.001 -0.014 0.000 0.000 1.779 -0.062  // 7 PM
1.992 0.001 0.001 -0.030 -0.000 1.817 0.000 -0.012 0.000 0.000 1.884 -0.046  // 8 PM
2.050 0.000 0.000 -0.020 -0.000 1.951 0.000 -0.010 0.000 0.000 1.989 -0.029 // 9 PM
2.075 0.000 0.000 -0.016 0.000 2.009 0.000 -0.009 0.000 0.000 2.034 -0.022  // 10 PM
2.099 0.000 0.000 -0.011 0.000 2.066 0.000 -0.008 0.000 0.000 2.079 -0.014  // 11 PM

// WEATHER_SUNNY_LA
2.124 0.000 0.000 -0.007 0.000 2.124 0.000 -0.007 0.000 0.000 2.124 -0.007 // 12 AM
2.062 0.000 0.000 -0.003 0.000 2.065 0.000 -0.004 0.000 0.000 2.065 -0.004  // 1 AM
2.000 0.000 0.000 0.000 0.000 2.007 0.000 -0.002 0.000 0.000 2.007 -0.002  // 2 AM
1.938 0.000 0.000 0.004 0.000 1.948 0.000 0.001 0.000 0.000 1.948 0.001 // 3 AM
1.793 0.000 0.000 0.013 0.000 1.812 0.000 0.008 0.000 0.000 1.812 0.008  // 4 AM
1.649 0.000 0.000 0.023 0.000 1.675 0.000 0.015 0.000 0.000 1.675 0.015  // 5 AM
1.504 0.000 0.000 0.032 0.000 1.539 0.000 0.022 0.000 0.000 1.539 0.022 // 6 AM
1.633 0.000 0.000 0.026 0.000 1.655 0.000 0.016 0.000 0.000 1.673 0.014  // 7 AM
1.761 0.000 0.000 0.021 0.000 1.772 0.000 0.011 0.000 0.000 1.808 0.007  // 8 AM
1.890 0.000 0.000 0.015 0.000 1.888 0.000 0.005 0.000 0.000 1.942 -0.001 // 9 AM
2.084 0.000 0.000 0.007 0.000 2.063 0.000 -0.003 0.000 0.000 2.144 -0.012  // 10 AM
2.277 0.000 0.000 -0.002 0.000 2.237 0.000 -0.012 0.000 0.000 2.345 -0.024  // 11 AM
2.471 0.000 0.000 -0.010 0.000 2.412 0.000 -0.020 0.000 0.000 2.547 -0.035 // 12 PM
2.392 0.000 0.000 -0.015 0.000 2.297 0.000 -0.019 0.000 0.000 2.431 -0.041  // 1 PM
2.312 0.001 0.001 -0.020 0.000 2.182 0.000 -0.019 0.000 0.000 2.314 -0.047  // 2 PM
2.233 0.001 0.001 -0.025 -0.000 2.067 0.000 -0.018 0.000 0.000 2.198 -0.053 // 3 PM
2.114 0.001 0.001 -0.033 -0.000 1.895 0.000 -0.017 0.000 0.000 2.023 -0.062  // 4 PM
1.996 0.002 0.002 -0.041 -0.001 1.722 0.001 -0.017 0.000 0.000 1.849 -0.070  // 5 PM
1.877 0.002 0.002 -0.049 -0.001 1.550 0.001 -0.016 0.000 0.000 1.674 -0.079 // 6 PM
1.935 0.001 0.001 -0.039 -0.001 1.684 0.001 -0.014 0.000 0.000 1.779 -0.062  // 7 PM
1.992 0.001 0.001 -0.030 -0.000 1.817 0.000 -0.012 0.000 0.000 1.884 -0.046  // 8 PM
2.050 0.000 0.000 -0.020 -0.000 1.951 0.000 -0.010 0.000 0.000 1.989 -0.029 // 9 PM
2.075 0.000 0.000 -0.016 0.000 2.009 0.000 -0.009 0.000 0.000 2.034 -0.022  // 10 PM
2.099 0.000 0.000 -0.011 0.000 2.066 0.000 -0.008 0.000 0.000 2.079 -0.014  // 11 PM

// WEATHER_EXTRASUNNY_SMOG_LA
1.667 0.032 0.030 0.060 0.032 1.667 0.030 0.060 0.033 0.033 1.654 0.070 // 12 AM
1.626 0.032 0.030 0.062 0.032 1.628 0.030 0.062 0.033 0.033 1.615 0.072  // 1 AM
1.584 0.032 0.030 0.065 0.032 1.589 0.030 0.063 0.033 0.033 1.576 0.074  // 2 AM
1.543 0.032 0.030 0.067 0.032 1.550 0.030 0.065 0.033 0.033 1.537 0.076 // 3 AM
1.446 0.032 0.030 0.073 0.032 1.459 0.030 0.070 0.033 0.033 1.446 0.080  // 4 AM
1.350 0.032 0.030 0.080 0.032 1.368 0.030 0.074 0.033 0.033 1.355 0.085  // 5 AM
1.253 0.032 0.030 0.086 0.032 1.277 0.030 0.079 0.033 0.033 1.264 0.089 // 6 AM
1.339 0.032 0.030 0.082 0.032 1.355 0.030 0.075 0.033 0.033 1.354 0.084  // 7 AM
1.425 0.032 0.030 0.079 0.032 1.432 0.030 0.072 0.033 0.033 1.443 0.079  // 8 AM
1.511 0.032 0.030 0.075 0.032 1.510 0.030 0.068 0.033 0.033 1.533 0.074 // 9 AM
